5,1594741832,45.7,72.88,53
14,1594741832,45.7,72.88,82
7,1594741832,45.7,72.88,41
14,1594741832,45.7,72.88,44
6,1594741832,45.7,72.88,42
18,1594741832,45.7,72.88,67
7,1594741832,45.7,72.88,5
8,1594741832,45.7,72.88,60
14,1594741832,45.7,72.88,10
3,1594741832,45.7,72.88,89
18,1594741832,45.7,72.88,52
19,1594741832,45.7,72.88,79
17,1594741832,45.7,72.88,11
3,1594741832,45.7,72.88,85
0,1594741832,45.7,72.88,7
8,1594741832,45.7,72.88,19
16,1594741832,45.7,72.88,82
2,1594741832,45.7,72.88,50
5,1594741832,45.7,72.88,21
1,1594741832,45.7,72.88,40
8,1594741832,45.7,72.88,66
11,1594741832,45.7,72.88,86
7,1594741832,45.7,72.88,17
14,1594741832,45.7,72.88,51
18,1594741832,45.7,72.88,26
7,1594741832,45.7,72.88,19
13,1594741832,45.7,72.88,29
15,1594741832,45.7,72.88,61
7,1594741832,45.7,72.88,81
13,1594741832,45.7,72.88,31
19,1594741832,45.7,72.88,89
9,1594741832,45.7,72.88,79
18,1594741832,45.7,72.88,28
17,1594741832,45.7,72.88,5
9,1594741832,45.7,72.88,44
5,1594741832,45.7,72.88,51
2,1594741832,45.7,72.88,86
7,1594741832,45.7,72.88,12
8,1594741832,45.7,72.88,15
17,1594741832,45.7,72.88,74
16,1594741832,45.7,72.88,37
14,1594741832,45.7,72.88,56
6,1594741832,45.7,72.88,75
3,1594741832,45.7,72.88,58
7,1594741832,45.7,72.88,98
3,1594741832,45.7,72.88,20
11,1594741832,45.7,72.88,18
15,1594741832,45.7,72.88,18
20,1594741832,45.7,72.88,23
12,1594741832,45.7,72.88,95
20,1594741832,45.7,72.88,60
3,1594741832,45.7,72.88,77
9,1594741832,45.7,72.88,6
13,1594741832,45.7,72.88,2
15,1594741832,45.7,72.88,11
4,1594741832,45.7,72.88,76
1,1594741832,45.7,72.88,5
12,1594741832,45.7,72.88,81
20,1594741832,45.7,72.88,44
12,1594741832,45.7,72.88,67
20,1594741832,45.7,72.88,94
10,1594741832,45.7,72.88,56
19,1594741832,45.7,72.88,40
5,1594741832,45.7,72.88,3
19,1594741832,45.7,72.88,55
18,1594741832,45.7,72.88,42
20,1594741832,45.7,72.88,89
14,1594741832,45.7,72.88,30
0,1594741832,45.7,72.88,62
18,1594741832,45.7,72.88,19
9,1594741832,45.7,72.88,37
13,1594741832,45.7,72.88,23
16,1594741832,45.7,72.88,43
9,1594741832,45.7,72.88,41
16,1594741832,45.7,72.88,18
2,1594741832,45.7,72.88,61
17,1594741832,45.7,72.88,56
3,1594741832,45.7,72.88,16
3,1594741832,45.7,72.88,44
3,1594741832,45.7,72.88,11
4,1594741832,45.7,72.88,52
5,1594741832,45.7,72.88,37
7,1594741832,45.7,72.88,26
13,1594741832,45.7,72.88,29
14,1594741832,45.7,72.88,76
14,1594741832,45.7,72.88,20
6,1594741832,45.7,72.88,34
15,1594741832,45.7,72.88,29
20,1594741832,45.7,72.88,68
1,1594741832,45.7,72.88,100
6,1594741832,45.7,72.88,77
16,1594741832,45.7,72.88,8
7,1594741832,45.7,72.88,11
4,1594741832,45.7,72.88,85
5,1594741832,45.7,72.88,63
11,1594741832,45.7,72.88,38
9,1594741832,45.7,72.88,9
20,1594741832,45.7,72.88,99
10,1594741832,45.7,72.88,3
14,1594741832,45.7,72.88,15
1,1594741832,45.7,72.88,30
1,1594741832,45.7,72.88,80
2,1594741832,45.7,72.88,71
13,1594741832,45.7,72.88,0
17,1594741832,45.7,72.88,28
6,1594741832,45.7,72.88,38
18,1594741832,45.7,72.88,53
4,1594741832,45.7,72.88,6
19,1594741832,45.7,72.88,48
4,1594741832,45.7,72.88,65
10,1594741832,45.7,72.88,17
11,1594741832,45.7,72.88,67
6,1594741832,45.7,72.88,21
5,1594741832,45.7,72.88,33
15,1594741832,45.7,72.88,82
15,1594741832,45.7,72.88,44
4,1594741832,45.7,72.88,38
15,1594741832,45.7,72.88,56
11,1594741832,45.7,72.88,75
3,1594741832,45.7,72.88,53
4,1594741832,45.7,72.88,52
2,1594741832,45.7,72.88,89
14,1594741832,45.7,72.88,75
3,1594741832,45.7,72.88,20
5,1594741832,45.7,72.88,3
8,1594741832,45.7,72.88,86
0,1594741832,45.7,72.88,73
6,1594741832,45.7,72.88,78
11,1594741832,45.7,72.88,20
10,1594741832,45.7,72.88,78
7,1594741832,45.7,72.88,89
4,1594741832,45.7,72.88,51
3,1594741832,45.7,72.88,86
17,1594741832,45.7,72.88,7
19,1594741832,45.7,72.88,62
8,1594741832,45.7,72.88,2
15,1594741832,45.7,72.88,33
7,1594741832,45.7,72.88,55
6,1594741832,45.7,72.88,83
2,1594741832,45.7,72.88,40
4,1594741832,45.7,72.88,1
13,1594741832,45.7,72.88,82
9,1594741832,45.7,72.88,68
3,1594741832,45.7,72.88,73
14,1594741832,45.7,72.88,11
0,1594741832,45.7,72.88,47
12,1594741832,45.7,72.88,36
3,1594741832,45.7,72.88,82
14,1594741832,45.7,72.88,88
5,1594741832,45.7,72.88,4
19,1594741832,45.7,72.88,20
0,1594741832,45.7,72.88,51
17,1594741832,45.7,72.88,82
19,1594741832,45.7,72.88,16
1,1594741832,45.7,72.88,56
7,1594741832,45.7,72.88,84
10,1594741832,45.7,72.88,83
2,1594741832,45.7,72.88,92
9,1594741832,45.7,72.88,56
